time,phoneme,F1,F2,F3,,
1.515735765,/a/,654.741429,1332.755587,2391.593955,,
1.651252112,/o/,424.150474,2040.03603,2533.339227,,/a/
1.720414125,/i/,337.9142835,1864.441569,2592.399826,,/o/
1.827459265,/ɒ/,526.8747795,1191.004539,2514.281427,,/i/
4.884234312,/a/,640.1779753,1435.393133,2758.001825,,/ɒ/
4.991680816,/o/,382.0774342,2084.343992,2636.89494,,/ɤ/
5.052222999,/i/,341.2443871,1991.282805,2550.153322,,/ɯ/
5.138449744,/ɒ/,448.856609,1346.230073,2400.579516,,/æ/
7.680317638,/a/,656.5328973,1345.253097,2268.890593,,/e/
7.772455108,/o/,420.8420447,1829.259714,2500.297744,,/ɶ/
7.84488428,/i/,323.0845785,1877.254794,2468.863123,,/u/
7.928573936,/ɒ/,474.025942,1463.347274,2604.725906,,/ø/
1.296199586,/a/,717.5328666,1436.129072,2511.486826,,/θ/
1.426071432,/ɤ/,610.7635212,1594.642834,2779.23383,,/ʌ/
1.650346145,/ɯ/,407.9889373,1508.425851,2541.899115,,/ɞ/
3.729693136,/a/,681.3918105,1380.802519,2660.690976,,/ɐ/
3.883481511,/ɤ/,582.0851044,1564.905908,2573.509696,,/ɔ/
4.101205648,/ɯ/,411.3060009,1448.138113,2574.925758,,/ʊ/
6.196714989,/a/,634.5078423,1382.957203,2517.655892,,/ɑ/
6.321668044,/ɤ/,564.4605913,1567.696979,2847.610374,,/ɪ/
6.555554532,/ɯ/,390.9516849,1541.703884,2499.425229,,/ə/
1.252261462,/a/,637.0431599,1314.501976,2238.762484,,
1.416988729,/æ/,613.8156221,1508.957986,2761.958619,,
1.561948724,/e/,513.3406948,1609.797732,2629.379731,,
1.66407963,/ɶ/,365.4652419,1416.685931,2885.363182,,
3.55514866,/a/,657.1250173,1372.075055,2597.865158,,
3.716581382,/æ/,555.1269214,1493.797512,2710.341897,,
3.861541378,/e/,529.2100401,1602.412966,2714.749938,,
3.999912282,/ɶ/,361.5368271,1419.080826,2726.706898,,
5.900864948,/a/,671.0910316,1364.111574,2414.381814,,
6.085359488,/æ/,556.1009164,1496.323975,2713.168379,,
6.223730393,/e/,551.2581541,1562.790859,2642.897741,,
6.34562857,/ɶ/,280.2879257,505.8958477,1720.081629,,
1.08366849,/u/,336.0538709,1338.82038,2456.532144,,
1.188603277,/u/,414.6283308,1269.603141,2577.916125,,
